source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Astrocyte,CGE interneuron,C3,NRP1,3.177763,0.0,6.5912023,0.9344055474213165,3.5817766040261723,0.07119475,0.82942164,0.0076877560446640455,0.5227902079258144
Hippocampal CA1-3,Deep-layer intratelencephalic,SERPINF1,PLXDC1,0.91158664,0.0,0.6505072,0.16832895992211655,-0.17429475476341194,0.027947163,0.60435987,0.9690815267486609,0.5236195821648486
CGE interneuron,CGE interneuron,EFNB2,GRM5,3.6394176,0.0,9.874644,0.07418194334275935,0.07345681189478093,0.017605975,0.8561471,0.987882884270335,0.5259585807913608
Hippocampal dentate gyrus,Hippocampal dentate gyrus,EFNB2,EPHA4,3.1760921,0.0,7.820774,0.20525076199900946,0.05957029725095575,0.020533875,0.8411831,0.45958971435555185,0.5259585807913608
Astrocyte_2,Hippocampal dentate gyrus,VEGFA,NRP1,3.1747649,0.0,8.836148,0.8286547611110175,2.6707499199781943,0.088574626,0.8491681,0.005666140347205635,0.5291397291594401
Astrocyte_2,MGE interneuron,EFNB2,EPHA6,3.3323069,0.0,5.8286576,0.003321982854993938,0.3226366506522691,0.011315068,0.8205472,1.0,0.5291397291594401
MGE interneuron,MGE interneuron,EFNA5,EPHA4,3.3730154,1.0,9.999746,-0.08189316021974558,-0.4268727762938038,0.012306513,0.85692066,1.0,0.5291397291594401
Hippocampal CA1-3,Upper-layer intratelencephalic,EFNA5,EPHA4,4.2443867,0.0,17.57289,0.23887077303571724,0.021797278468556502,0.021626648,0.8881364,0.5114300150715775,0.5309865960794863
MGE interneuron,Upper-layer intratelencephalic,SLIT3,ROBO2,3.8695326,1.0,10.037648,-0.07505517823523003,-0.7282690406518517,0.011028413,0.8571524,1.0,0.5323336787349331
Upper-layer intratelencephalic,Upper-layer intratelencephalic,SERPINF1,PLXDC1,0.81621516,0.0,0.6505415,0.12312475483093377,-0.09489251699181511,0.027948637,0.6043661,0.7847982965986181,0.5325274115413102
Upper-layer intratelencephalic,Deep-layer intratelencephalic,EFNA5,EPHA3,4.2315245,0.0,16.48054,0.5671146163003236,1.0952558223141935,0.041491203,0.8849085,0.06734784424870648,0.5349686432198304
Hippocampal dentate gyrus,Deep-layer intratelencephalic,EFNA5,EPHA6,3.195817,1.0,10.135909,-0.32402759746863363,-0.8245088627439356,0.009223087,0.85774773,1.0,0.5355406252962318
